content,sentiment
How unhappy  some dogs like it though,-1
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,-1
Does anybody know if the Rand's likely to fall against the dollar? I got some money  I need to change into R but it keeps getting stronger unhappy ,-1
I miss going to gigs in Liverpool unhappy ,-1
There isnt a new Riverdale tonight ? unhappy ,-1
it's that A*dy guy from pop Asia and then the translator so they'll probs go with them around Aus unhappy ,-1
Who's that chair you're sitting in? Is this how I find out. Everyone knows now. You've shamed me in pu,-1
don't like how jittery caffeine makes me sad ,-1
My area's not on the list unhappy  think I'll go LibDems anyway,-1
I want fun plans this weekend unhappy ,-1
When can you notice me.  unhappy  what?  ,-1
Ahhhhh! You recognized LOGAN!!! Cinemax shows have a BAD track record for getting cancelled unhappy ,-1
Errr dude.... They're gone unhappy  Asked other league memeber to check  the guys are go ,-1
Not you again sad  ,-1
Why would Harvey be going to prison? unhappy ,-1
Missing in crying  Seaside area. ,-1
Becoz if we will depend on your promoting its waste of hardwork to all team who ,-1
I thought you'll save me crying ,-1
major waffle cravings right now sad ,-1
cant speak japanese ::(,-1
how can people do stuff like this unhappy  ,-1
please just stop confining animals in zoos unhappy  ,-1
Feel like i shoyould be telling you to get the fuck out social media byout also feel really mean because unhappy  silence  love yoyou hope yoyoure okay ,-1
i miss you huhu so busy unhappy ,-1
it was extended family. 12 ppl.ahh wanted to show a Oh My Girl being dorky while playing a game but it got deleted unhappy ,-1
Don't do that unhappy ,-1
Jamie can you please reset the CGa grandfinal server... no administrator are responding unhappy ,-1
noOoooooo YOU GONNA MISS THE BUFFET unhappy  TAKE CARE AIN!!!!!!!!!!!!!!!!! ,-1
I wish i could vote for you unhappy ,-1
instant message so jealous okay unhappy  but never mind haha bruno can wait finals first,-1
when i'm enlisting can please turn up like this unhappy  ,-1
unhappy  how come people like this have children where's the state intervention ,-1
Ouchhhhh unhappy  ,-1
Help... I want to stop tweeting. All I feel is endless suffering and pain. I tried to deactivate myself many times... Save me... unhappy ,-1
For those asking,-1
 the application is Kana Kanji Funtime! Sadly,-1
 it looks like iOS 11 is due to kill it unhappy  ,-1
Yeah did update to 16.04 ,-1
 it froze a few times. Then went to 16.10,-1
 froze mid install. Waited 3hrs he'd to pull plug crying ,-1
Shaandaar,-1
 Zabardast,-1
 Another ATBB on it's way ! I wish Srk Sir starts signing good movies unhappy  ,-1
I want Jabee crying ,-1
sociopath full raid gear sad  ,-1
When will you say hi sunshine ? unhappy  ,-1
i feel bad for doing that AHAHA unhappy ,-1
it's getting harder and harder to stay unhappy ,-1
His face looks bloated unhappy  baby get well soon ,-1
fuck. tried changing my settings but still in india. unhappy ,-1
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,-1
Let's not forget that it's also Gabriel Tenma White's birthday today!I miss unhappy  ,-1
Why am i always taken for granted eversince unhappy ,-1
Ah alright,-1
 i don%27t know if you saw my comment yet,-1
 but what camera you shooting with,-1
 does it have flip out scr ,-1
I miss Louis' tweets unhappy ,-1
Koalas are dying of thirst  and it's all because of us unhappy  ,-1
okay I'll shut up now. instant message just mad that lots of people will now have a VERY flawed opinion on mental health ( on mine) because of this show unhappy ,-1
pamura isa because in this very moment,-1
 i want to explode like a grenade to the point where people will die with me. sad ,-1
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1
i really want one of those iconic jimin stripes turtleneck shirt unhappy ,-1
I want a spoons but I cant go unhappy  honestly feels like a messy break up unhappy ,-1
Makes me so sad unhappy  they looked so unhappy when I went to SeaWorld ,-1
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1
I miss Rockys posts unhappy  ,-1
Hey Tony,-1
 oh no unhappy  Could you please tell me a little more about your issue? Im following if youd prefer to DM. Amanda,-1
i love mason and miss mason unhappy ,-1
Cold as a mother crusher right now. Nearing the end of April. sad ,-1
we don%27t talk anymore like we used to do unhappy ,-1
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1
miss biking unhappy ,-1
I miss Big brother unhappy ,-1
6 days in camp haiss miss you a lot unhappy ,-1
It's raining so hard unhappy ,-1
Am bored and kandowiandg I have ando plaands for today is makiandg me eveand more bored unhappy ,-1
oh my god not laurie penny unhappy ,-1
can you say Hi Mekisha? unhappy ,-1
I should never draw again unhappy ,-1
Cleantha ,-1
Visual Studio Installation - 89% .. BSOD comes suddenly unhappy ,-1
i want to make waffles unhappy ,-1
So sad unhappy  ,-1
crying  muh feels,-1
Look like somethings i will ignore xD Kart Racing when? unhappy ,-1
did ate jenna just blocked me or what? unhappy ,-1
My bed is so comfortable I don't want to get up unhappy ,-1
Is that store still in use? If so,-1
 I sincerely hope not too many priceless antiques were destroyed. Reg ,-1
Astaga unhappy  /? ,-1
I want a puppy now unhappy ,-1
have to work unhappy  but i'll see you tomorrow!! ,-1
happy weed day without them is not the same anymore unhappy ,-1
my favourite lipstick hilang crying ,-1
Time just flies,-1
 can't believe he will be year for next year unhappy  We're becoming old HAHAHAH :v,-1
The new Twitter reply view has me confused... like do I capitalise my replies to people or not? unhappy ,-1
Whaddup. Me too crying ,-1
unhappy  every time laughing my ass off,-1
who's selling an army bomb ver 2??? meet up on sad ,-1
Yeesh unhappy  It's fairly warm here.,-1
easter has flown unhappy  I'm not ready to give up home luxuries like branded cereal,-1
Ohnoo unhappy  unhappy  hope it recuperates sooner!!,-1
Her back unhappy  ,-1
give me a chance in west server unhappy ,-1
but you were going to do it yesterday unhappy ,-1
I agree. My issue would be that it all has to be paid for somehow. I just can't see the numbers adding up. sad ,-1
I want to drink with cigarettes unhappy ,-1
Oh mince unhappy ,-1
The manifesto,-1
 Nick? Might he deliver WHEN the time demands it. Story of his life - ,-1
It's okay I've accepted you the way you are unhappy ,-1
why do people abuse animals unhappy  they're so loyal,-1
i'm actually crying while typing this tweet i just can't take it anymore.. not applicablehulog not applicable knock out d unhappy ,-1
imagine if he wins next time too unhappy  unhappy ,-1
Same unhappy ,-1
I need Cue something that would make me smile....I'll be waiting...:( ,-1
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1
these nosebleeds are getting outta hands unhappy ,-1
I am perfectly happy being single .. Until I see a happy couple :(KISSES TheFashionIcon,-1
Dude I just want more sleep unhappy ,-1
Feel so fucking shit today unhappy ,-1
wont be able to stream tonight i'm sorry guys unhappy ,-1
I face swapped a cat with a dog and it's really upsetting unhappy  ,-1
your system does not recognize spaces in last names so for 2nd time unable to check in  forced to wait in unnecessary lines unhappy ,-1
still waiting unhappy ,-1
- Thank you tons,-1
 rocks. next question - where is my astro unhappy  ? ,-1
It was not your fault,-1
 but the customs of Argentina that fill you with paperwork unhappy ,-1
i tried fixing my choristers dress hem that came undone by taping it with fabric tape but i put it on wrong and its even more ruined unhappy ,-1
Small fishie died unhappy ,-1
It's too nice outside to be stuck in school all day unhappy ,-1
EDM pleaseeeeeeeee   unhappy ,-1
oh my god unhappy  next time mishutuuu,-1
Can you say Hi julia ??pleasee crying  ,-1
Bby unhappy  your emotion  ,-1
I seriously thought that Coldplay was going to be band like Depeche Mode or U2,-1
 just kept going unhappy  ,-1
poor baby unhappy  I hate people ,-1
unhappy  i have to be strong today jfjfjkf,-1
I NEED A UNICORN FRAPPUCCINO STAT. I JUST FOUND OUT THEY ARE LIMITED TIMEE! unhappy  How much longer?,-1
Her back unhappy  ,-1
unhappy  sorry to hear this.....,-1
I won't. if i do it's probably for phil but he hasn't seen me yet unhappy ,-1
Yuri was here and i didn't know it unhappy  the second snsd i missed ,-1
why are your campervan tickets so expensive? unhappy ,-1
Canberra is a land-locked capital. unhappy  ,-1
how much? i cant seem to deathmatch you unhappy ,-1
.agata baby unhappy  it broke in the mail. but i read your letter  can't thank you enough. you are the best ,-1
same unhappy ,-1
she is! HAHA but I wanted to look like v unhappy ,-1
unhappy  they look dead,-1
Puta I know sorry isn't enough pero sorry padin unhappy ,-1
mannn,-1
 i want to go to an m's game unhappy ,-1
unhappy   feeling bored,-1
I wish i could sleep early unhappy ,-1
I just hope I start getting the 1GB data per day from tonight!! unhappy ,-1
Koalas are dying of thirst  and it's all because of us unhappy  ,-1
i want to see you happy sad ,-1
I just told them to bugger off and hung up! They waned access to my pc. If they phoned someone like my Gran ,-1
my braces hurt unhappy ,-1
Ohh welcome to CLXSSlC chanyeol oppa! Or should I call you with richard? Kalau jadi sayang gimana? unhappy ,-1
we don%27t talk anymore like we used to do unhappy ,-1
Claaaaaaaaaaaaasse ! ,-1
What a pity! unhappy  Those were beautiful! But thank you for your answer!,-1
Sciatica. What a monumental pain in the arse. unhappy ,-1
This escalated quickly,-1
 I'm aborting mission now have a nice day though x ,-1
- Thank you tons,-1
 rocks. next question - where is my astro unhappy  ?,-1
Her back unhappy  ,-1
No stream tonight! Throat is killing me. unhappy ,-1
Me too...I won't miss the HGVs going past our house though. It was a nice looking building - had initiall ,-1
Don't say that unhappy ,-1
Summer's not in our school's vocabulary unhappy  We need air. Please tell ,-1
Bae's not here unhappy ,-1
Wanna get a haircut but i don%27t know a good place unhappy ,-1
it feels kind of empty w/o youngjae at the venue.. unhappy ,-1
Her back unhappy  ,-1
Yeah ,-1
 i think that's going to be true ,-1
 he can't leave us unhappy ,-1
Yesterday felt like friday unhappy ,-1
 [PLEASE RT] he'll buy me a blinking taehyung headband,-1
 if i get 900 retweets and 900 likes. help me :(un,-1
yes instant message sad crying ,-1
I face swapped a cat with a dog and it's really upsetting unhappy  ,-1
Nice! Some really nice stuff there! Mostly black dresses which i won't get away with for a June wedding though unhappy ,-1
I miss you unhappy ,-1
Beyond sad unhappy ,-1
Goodnight princess,-1
 I love you  have fun with your friends ,-1
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1
Something is really wrong. I should be spending my days naked on a beach in the hot sunshine. Not working in the cold in King's Lynn sad ,-1
Punishment time for JB's team! unhappy  ,-1
Aw goodnight angel! I love you lots and I hope you're going to have the best tiame and a lot of fun!! Wonho's already am,-1
Not really an amount just loads of sections unhappy  I'll ride up to to netherton now meet me at Darby end ?,-1
Q2 I'm not an MH healthcare professional. As much as I want to help I'm scared to death I might make the situation ,-1
Got a msg! Oops not you unhappy ,-1
Just chillin~ it's a bit quiet tonight on my tough luck unhappy  what about you??,-1
 I bet The media's one-sided view of Tim Tams surprisingly was the alt-right roar extreme droll Fad unhappy ,-1
my hair is not as crisp unhappy ,-1
a couple more unhappy  ,-1
what the fuck don%27t unhappy ,-1
Going to CA in July,-1
 our reunion is in August unhappy ,-1
The road and traffic signs section of theory revision is such a myth unhappy ,-1
unhappy  We're sorry your pizza arrived with mushrooms despite your request. Could you please get in touch vi ,-1
you're a kabute unhappy ,-1
last to  things i've bought from you no sweets unhappy ,-1
Wish I could stay in bed all day and listen to the rain sad ,-1
I don't want to tell fellow Comm students because i don't want them to think I'm some kind of suck-up... unhappy ,-1
When will you notice me? unhappy ,-1
GO AWAY unhappy  ,-1
ally unhappy  I can't make a poem about being cute ,-1
ehh i cant DM you unhappy ,-1
to  beautiful ladies and so full of fun and body confidence. .. then on the s ,-1
why is italian easier than spanish unhappy ,-1
i find it so difficult to says no to him unhappy  ,-1
It's only been 3 days and to  nights since mama went back to the province but I already miss her unhappy ,-1
i want to cry unhappy ,-1
I love got7 but god i am bored unhappy ,-1
i can't continue this right now because the lighting is shitty as f i swear sorry sad ,-1
Let's have dinneeeer please unhappy ,-1
I lost one import quizzz unhappy ,-1
i want to be mutuals with you so bad unhappy ,-1
Keep looking for the things I bought yesterday in my dream unhappy ,-1
it hurts me to see him so sad unhappy  you don't understand i have to do this. if i don't kill you,-1
 he'll kil ,-1
i hate park jisung so much sad ,-1
When your online crush comes to the meet-up without their Snapchat filter unhappy  ,-1
I hate when my mom ask so you going or no? Bc then I want to stay home but i missed too much school already unhappy ,-1
