,content,sentiment,Proc_Tweet
0,How unhappy  some dogs like it though,-1,unhappy dog like though
1,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,-1,talk driver I go say would love go new york since tramp probably
2,Does anybody know if the Rand's likely to fall against the dollar? I got some money  I need to change into R but it keeps getting stronger unhappy ,-1,anybody know likely fall dollar I get money I need change r keep get strong unhappy
3,I miss going to gigs in Liverpool unhappy ,-1,I miss go fig liverpool unhappy
4,There isnt a new Riverdale tonight ? unhappy ,-1,new riverdale tonight unhappy
5,it's that A*dy guy from pop Asia and then the translator so they'll probs go with them around Aus unhappy ,-1,dy guy pop asia translator probe go around unhappy
6,Who's that chair you're sitting in? Is this how I find out. Everyone knows now. You've shamed me in pu,-1,chair sit I find everyone know ashamed
7,don't like how jittery caffeine makes me sad ,-1,like battery caffein make sad
8,My area's not on the list unhappy  think I'll go LibDems anyway,-1,area list unhappy think I go libdems anyway
9,I want fun plans this weekend unhappy ,-1,I want fun plan weekend unhappy
10,When can you notice me.  unhappy  what?  ,-1,notice unhappy
11,Ahhhhh! You recognized LOGAN!!! Cinemax shows have a BAD track record for getting cancelled unhappy ,-1,ah recognize loan cinema show bad track record get cancel unhappy
12,Errr dude.... They're gone unhappy  Asked other league memeber to check  the guys are go ,-1,err due go unhappy ask league member check gun go
13,Not you again sad  ,-1,sad
14,Why would Harvey be going to prison? unhappy ,-1,would harvey go prison unhappy
15,Missing in crying  Seaside area. ,-1,miss cry seaside area
16,Becoz if we will depend on your promoting its waste of hardwork to all team who ,-1,become depend promote waste hardware team
17,I thought you'll save me crying ,-1,I think save cry
18,major waffle cravings right now sad ,-1,major wattle crave right sad
19,cant speak japanese ::(,-1,speak japanese
20,how can people do stuff like this unhappy  ,-1,people stuff like unhappy
21,please just stop confining animals in zoos unhappy  ,-1,please stop confine animal room unhappy
22,Feel like i shoyould be telling you to get the fuck out social media byout also feel really mean because unhappy  silence  love yoyou hope yoyoure okay ,-1,feel like I tell get fuck social medium bout also feel really mean unhappy silence love hope yoyoure okay
23,i miss you huhu so busy unhappy ,-1,I miss huge busy unhappy
24,it was extended family. 12 ppl.ahh wanted to show a Oh My Girl being dorky while playing a game but it got deleted unhappy ,-1,extend family 12 pp ah want show oh girl work play game get delete unhappy
25,Don't do that unhappy ,-1,unhappy
26,Jamie can you please reset the CGa grandfinal server... no administrator are responding unhappy ,-1,amie please rest ga grandfinal server administrator respond unhappy
27,noOoooooo YOU GONNA MISS THE BUFFET unhappy  TAKE CARE AIN!!!!!!!!!!!!!!!!! ,-1,donna miss buffet unhappy take care
28,I wish i could vote for you unhappy ,-1,I wish I could vote unhappy
29,instant message so jealous okay unhappy  but never mind haha bruno can wait finals first,-1,instant message jealous okay unhappy never mind hata brunn wait final first
30,when i'm enlisting can please turn up like this unhappy  ,-1,I exist please turn like unhappy
31,unhappy  how come people like this have children where's the state intervention ,-1,unhappy come people like child state intervention
32,Ouchhhhh unhappy  ,-1,unhappy
33,Help... I want to stop tweeting. All I feel is endless suffering and pain. I tried to deactivate myself many times... Save me... unhappy ,-1,help I want stop meeting I feel endless suffer pain I try activate many time save unhappy
34,For those asking,-1,ask
35, the application is Kana Kanji Funtime! Sadly,-1,application kann anti futile sadly
36, it looks like iOS 11 is due to kill it unhappy  ,-1,look like 11 due kill unhappy
37,Yeah did update to 16.04 ,-1,yeah update 16 04
38, it froze a few times. Then went to 16.10,-1,froze time go 16 10
39, froze mid install. Waited 3hrs he'd to pull plug crying ,-1,froze mid install wait would pull plug cry
40,Shaandaar,-1,shaandaar
41, Zabardast,-1,zabardast
42, Another ATBB on it's way ! I wish Srk Sir starts signing good movies unhappy  ,-1,another way I wish ark sir start sign good move unhappy
43,I want Jabee crying ,-1,I want jabez cry
44,sociopath full raid gear sad  ,-1,sociopath full raid gear sad
45,When will you say hi sunshine ? unhappy  ,-1,say hi sunshine unhappy
46,i feel bad for doing that AHAHA unhappy ,-1,I feel bad ahahah unhappy
47,it's getting harder and harder to stay unhappy ,-1,get hard harder stay unhappy
48,His face looks bloated unhappy  baby get well soon ,-1,face look bloat unhappy baby get well soon
49,fuck. tried changing my settings but still in india. unhappy ,-1,fuck tried change setting still india unhappy
50,talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,-1,talk driver I go say would love go new york since tramp probably
51,Let's not forget that it's also Gabriel Tenma White's birthday today!I miss unhappy  ,-1,let forget also gabriel ten white birthday today I miss unhappy
52,Why am i always taken for granted eversince unhappy ,-1,I always take granted eversince unhappy
53,Ah alright,-1,ah alright
54, i don%27t know if you saw my comment yet,-1,I know saw comment yet
55, but what camera you shooting with,-1,camera shooting
56, does it have flip out scr ,-1,lip sir
57,I miss Louis' tweets unhappy ,-1,I miss louis isweets unhappy
58,Koalas are dying of thirst  and it's all because of us unhappy  ,-1,ala die thirst us unhappy
59,okay I'll shut up now. instant message just mad that lots of people will now have a VERY flawed opinion on mental health ( on mine) because of this show unhappy ,-1,okay I shut instant message mad lots people flow opinion mental health mine show unhappy
60,pamura isa because in this very moment,-1,pleura isa moment
61, i want to explode like a grenade to the point where people will die with me. sad ,-1,I want explode like grenade point people die sad
62,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1,g send mud I want see hold trophy unhappy anyway
63,i really want one of those iconic jimin stripes turtleneck shirt unhappy ,-1,I really want one ironic join stripe turtleneck shirt unhappy
64,I want a spoons but I cant go unhappy  honestly feels like a messy break up unhappy ,-1,I want spoon I go unhappy honestly feel like mess break unhappy
65,Makes me so sad unhappy  they looked so unhappy when I went to SeaWorld ,-1,make sad unhappy look unhappy I go seaworld
66,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1,g send mud I want see hold trophy unhappy anyway
67,I miss Rockys posts unhappy  ,-1,I miss rocky post unhappy
68,Hey Tony,-1,hey tony
69, oh no unhappy  Could you please tell me a little more about your issue? Im following if youd prefer to DM. Amanda,-1,oh unhappy could please tell little issue follow prefer mania
70,i love mason and miss mason unhappy ,-1,I love mason miss mason unhappy
71,Cold as a mother crusher right now. Nearing the end of April. sad ,-1,cold mother crush right near end april sad
72,we don%27t talk anymore like we used to do unhappy ,-1,talk anymore like use unhappy
73,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,-1,g send mud I want see hold trophy unhappy anyway
74,miss biking unhappy ,-1,miss like unhappy
75,I miss Big brother unhappy ,-1,I miss big brother unhappy
76,6 days in camp haiss miss you a lot unhappy ,-1,6 day camp hairs miss lot unhappy
77,It's raining so hard unhappy ,-1,rain hard unhappy
78,Am bored and kandowiandg I have ando plaands for today is makiandg me eveand more bored unhappy ,-1,bore kandowiandg I glands today make even bore unhappy
79,oh my god not laurie penny unhappy ,-1,oh god large penny unhappy
80,can you say Hi Mekisha? unhappy ,-1,say hi misha unhappy
81,I should never draw again unhappy ,-1,I never draw unhappy
82,Cleantha ,-1,cleantha
83,Visual Studio Installation - 89% .. BSOD comes suddenly unhappy ,-1,visual studio installation 89 come suddenly unhappy
84,i want to make waffles unhappy ,-1,I want make baffle unhappy
85,So sad unhappy  ,-1,sad unhappy
86,crying  muh feels,-1,cry much feel
87,Look like somethings i will ignore xD Kart Racing when? unhappy ,-1,look like something I ignore part race unhappy
88,did ate jenna just blocked me or what? unhappy ,-1,ate jena block unhappy
89,My bed is so comfortable I don't want to get up unhappy ,-1,bed comfortable I want get unhappy
90,Is that store still in use? If so,-1,store still use
91, I sincerely hope not too many priceless antiques were destroyed. Reg ,-1,I sincerely hope many priceless antique destroy red
